date,total_debts,total_debts_lag1,total_debts_lag2
2013-12-10,265199.0,227988.31,228007.01
2014-01-23,299453.0,265199.0,227988.31
2014-03-05,290103.0,299453.0,265199.0
2014-04-05,304337.0,290103.0,299453.0
2014-05-05,293623.0,304337.0,290103.0
2014-06-06,307582.0,293623.0,304337.0
2014-07-07,287573.0,307582.0,293623.0
2014-08-12,312521.0,287573.0,307582.0
2014-09-13,284295.0,312521.0,287573.0
2014-10-13,271678.0,284295.0,312521.0
2014-11-01,297264.0,271678.0,284295.0
2014-12-02,287331.0,297264.0,271678.0
2015-01-08,314666.0,287331.0,297264.0
2015-02-02,295383.0,314666.0,287331.0
2015-03-03,286473.88,295383.0,314666.0
2015-04-12,296560.0,286473.88,295383.0
2015-05-06,333696.0,296560.0,286473.88
2015-08-20,389581.06,333696.0,296560.0
2015-10-11,321167.0,389581.06,333696.0
2015-11-11,327932.0,321167.0,389581.06
2015-12-12,388439.58999999997,327932.0,321167.0
2016-01-13,386529.0,388439.58999999997,327932.0
2016-02-10,391061.0,386529.0,388439.58999999997
2016-05-10,421476.0,391061.0,386529.0
2016-06-08,413633.0,421476.0,391061.0
2016-07-18,401597.68,413633.0,421476.0
2016-08-20,403755.0,401597.68,413633.0
2016-09-19,405647.0,403755.0,401597.68
2016-10-19,396616.0,405647.0,403755.0
2016-11-20,406021.0,396616.0,405647.0
2016-12-21,404459.0,406021.0,396616.0
2017-01-22,411257.0,404459.0,406021.0
2017-02-23,408584.0,411257.0,404459.0
2017-03-16,389196.5,408584.0,411257.0
2017-04-30,420706.0,389196.5,408584.0
2017-05-30,426426.0,420706.0,389196.5
2017-07-31,450791.0,426426.0,420706.0
2017-09-12,450439.0,450791.0,426426.0
2017-10-13,449273.0,450439.0,450791.0
2017-11-02,489225.0,449273.0,450439.0
2017-12-27,506917.9499999999,489225.0,449273.0
2018-03-22,485705.0,506917.9499999999,489225.0
2018-05-14,497365.0,485705.0,506917.9499999999
2018-07-18,456302.0,497365.0,485705.0
2018-09-15,444785.0,456302.0,497365.0
2018-11-22,428956.0,444785.0,456302.0
2018-12-23,388344.0,428956.0,444785.0
2019-01-27,376211.0,388344.0,428956.0
2019-03-08,373450.0,376211.0,388344.0
2019-04-14,356279.0,373450.0,376211.0
2019-05-16,592977.0,356279.0,373450.0
2019-07-01,584674.09,592977.0,356279.0
2019-08-01,591573.18,584674.09,592977.0
2019-09-08,628258.18,591573.18,584674.09
2019-10-08,615377.18,628258.18,591573.18
2019-11-20,621990.27,615377.18,628258.18
2019-12-31,586053.27,621990.27,615377.18
2020-02-12,591333.27,586053.27,621990.27
2020-03-16,592730.27,591333.27,586053.27
2020-04-23,568860.27,592730.27,591333.27
2020-06-17,771441.0,568860.27,592730.27
2020-08-21,731511.0,771441.0,568860.27
2020-12-10,740047.0,731511.0,771441.0
2021-04-25,752180.0,740047.0,731511.0
2021-07-25,687093.0,752180.0,740047.0
2021-09-09,688523.0,687093.0,752180.0
2021-10-10,682924.0,688523.0,687093.0
2021-11-13,660605.0,682924.0,688523.0
2021-12-22,630267.0,660605.0,682924.0
2022-01-28,625141.0,630267.0,660605.0
2022-02-28,580404.0,625141.0,630267.0
2022-04-04,572913.0,580404.0,625141.0
2022-05-02,545061.0,572913.0,580404.0
2022-06-02,612755.0,545061.0,572913.0
2022-08-02,671583.0,612755.0,545061.0
2022-09-02,647661.85,671583.0,612755.0
2022-10-02,630908.85,647661.85,671583.0
2022-11-28,612766.0,630908.85,647661.85
2023-02-05,565378.0,612766.0,630908.85
2023-03-05,544192.0,565378.0,612766.0
2023-04-05,519097.04000000004,544192.0,565378.0
2023-05-05,498069.0,519097.04000000004,544192.0
